Year,Agri_Land_Pct,Cereal_Yield,Agri_GDP_Share,GDP_Growth,GDP_Per_Capita_Current,GDP_Per_Capita_Const,Literacy_Rate,Primary_Enrollment,Secondary_Enrollment,Edu_Expenditure,Child_Mortality,DPT_Immunization,Agri_Employment,Life_Expectancy,Food_Imports
1990,45.6698837691988,1766.4,23.0622831043927,4.45858681509816,371.678566172355,742.012955189681,,58.6293106079102,22.0075702667236,2.51680994033813,138.9,54.0,,60.1,17.3528271519918
1991,45.7529057700291,1805.8,22.9295265971886,5.06156775497072,410.295319109874,757.5389215242,,,25.269889831543,2.56676006317139,136.4,50.0,44.0559997558594,60.393,12.1499455934903
1992,45.895599833956,1884.7,23.4295604727498,7.70589782310797,426.957212702535,793.477017567355,,,28.3282108306885,2.55940008163452,133.8,42.0,43.7099990844727,60.68,15.0638808934274
1993,46.3755707762557,1959.5,22.3409482529044,1.75774769734467,439.65976882502,785.525834200055,,,,2.39867997169495,131.3,37.0,43.5040016174316,60.96,14.2062576385287
1994,46.4274595267746,1840.9,22.9276204532177,3.73741555244789,431.153127591837,792.704387322108,,,,2.60599994659424,128.8,39.0,43.3759994506836,61.235,
1995,46.733603154836,2050.4,23.4218793711634,4.96260915003212,489.88181401706,809.093360283243,,,,2.81679010391235,126.2,58.0,43.1969985961914,61.505,17.7391787254483
1996,46.92299709423,2046.3,23.1957958147755,4.84658128374571,497.216143153388,824.509702810632,,,,2.81057000160217,123.5,46.0,42.9630012512207,61.773,15.2209152759442
1997,47.5677148194271,2044.2,24.4842507882018,1.0143960141849,476.38123120309,809.308160655589,,,,3.02230000495911,120.7,52.0,43.0169982910156,62.039,19.2569216378422
1998,47.6857617268576,2200.3,25.3031382672009,2.55023429463535,461.216736136457,806.646159724103,42.6993103027344,,,,118.0,54.0,43.0419998168945,62.303,20.7285162129974
1999,47.6805728518057,2217.8,25.169285514224,3.66013274390127,454.276125443022,813.361508521311,,,,2.61149001121521,115.2,57.0,42.882999420166,62.564,16.9196071920885
2000,47.6053341635533,2404.5,24.1396289861951,4.26008801156799,519.534326794845,825.855749838674,,70.88539,,1.83782,112.4,59.0,42.6759986877441,62.82,14.0534372669727
2001,47.9607721046077,2230.5,22.4543828281756,1.98248403238117,495.345461593235,821.256946278269,,70.79137,,,109.8,61.0,42.5130004882813,63.066,12.4664010631357
2002,47.8466168534662,2260.2,21.7463786766275,3.224429972602,483.496927083321,827.493532680185,,70.8949,,,107.2,63.0,42.298999786377,63.3,11.9530181905329
2003,47.7921336654213,2320.6,21.7266709983986,4.84632093539447,543.751825839709,847.514150947739,,72.72244,22.51146,,104.7,66.0,42.0900001525879,63.522,11.5161863512615
2004,46.7582503113325,2430.7,20.6494899460694,7.36857135930246,625.397859721213,889.220326083746,,77.11121,24.69107,1.94841,102.2,68.0,42.7299995422363,63.736,10.3067682311948
2005,46.6544728102947,2615.8,20.2196627517661,7.66730427146116,683.090235091834,935.664135455926,49.87364,81.27757,25.63674,2.25436,99.8,63.0,43.0670013427734,63.951,10.5891354124124
2006,46.875,2554.0,21.6079774493194,6.17754203617736,836.86052111605,970.941955961058,54.15121,77.92785,30.86036,2.62638,97.3,59.0,43.3919982910156,64.176,10.4217637373005
2007,46.7167393109174,2743.9,21.8004724351841,4.83281727717085,908.095090591223,994.904408970307,,83.10394,32.90158,2.63527,94.9,54.0,43.640998840332,64.42,8.88236491483457
2008,45.8086861768369,2653.7,22.5002660331506,1.7014054654513,990.846599619906,989.190646267205,55.52637,83.24307,33.03703,2.74623,92.4,53.0,44.6990013122559,64.685,11.8539948074992
2009,45.7619863013699,2789.7,22.7173300134617,2.83165851919991,957.995680750104,994.735449240564,54.89264,83.8986,32.85656,2.59078,90.0,52.0,43.3079986572266,64.969,11.3696568296084
2010,45.7165836446658,2611.0,23.2815896365345,1.60669195949077,988.754128341182,988.754128341182,55.37519,84.59361,33.17973,2.28687,87.5,52.0,43.3889999389648,65.264,13.084541791079
2011,46.6168534661685,2953.4,25.1291827073544,2.74840254954,1164.97612914872,994.229957692241,54.73802,80.85918,33.76794,2.22175,85.1,63.0,43.4930000305176,65.562,11.9864181932881
2012,46.781600249066,2862.6,23.710248671838,3.50703342009689,1198.10900052752,1007.44307226372,56.76434,80.37719,34.9049,2.13628,82.7,64.0,42.8940010070801,65.849,11.1075946465357
2013,47.063096720631,3001.3,23.8321164648607,4.39645663349772,1208.90431029644,1029.84132418569,55.59499,79.65858,36.00167,2.49344,80.5,65.0,42.2369995117188,66.117,10.2925075820122
2014,47.0267745952677,3001.2,23.7445401162272,4.67470798143725,1251.16410422834,1055.66332093646,56.97715,84.30747,37.32049,2.46593,78.2,69.0,42.2330017089844,66.36,11.7320369084173
2015,46.9619136571191,2942.4,23.817063587239,4.73114747532901,1356.66773135083,1082.76656420783,,85.08992,39.60365,2.65002,76.0,72.0,41.0099983215332,66.577,12.1007451920714
2016,47.7947281029473,3020.8,23.2151987886214,5.52673584474448,1368.45432627629,1119.0390712375,,91.31746,40.95977,3.00292,73.8,75.0,42.273998260498,66.77,12.5094653519658
2017,,3170.8,22.8808880125872,5.7006212410121,1466.84309577722,1158.54042480595,59.13205,90.58917,40.40159,2.89952,71.5,75.0,41.9690017700195,66.947,11.8098699663615
2018,,,22.5727037098057,5.43001078627286,1472.89313366943,1196.59413620936,,94.14165,42.78196,,69.3,75.0,41.6710014343262,,10.0362325145512
